id,country,query,fallback_location
1,Japan,Tokyo Station Marunouchi railway,Japan
2,Japan,Tokyo Shinkansen bullet train,Japan
3,Japan,Kyoto Station trains,Japan
4,Japan,Osaka railway station,Japan
5,Japan,Shinkansen Mount Fuji,Japan
6,Japan,Enoden train Kamakura,Japan
7,Japan,Hakone mountain railway,Japan
8,Japan,Tokyo commuter train,Japan
9,Japan,Japanese rural railway,Japan
10,Japan,Hokkaido train snow,Japan
11,Japan,Kyushu railway train,Japan
12,Japan,Kanazawa Station railway,Japan
13,Japan,Nagoya Station Shinkansen,Japan
14,Japan,Hiroshima railway station,Japan
15,Japan,Nikko railway Japan,Japan
16,Switzerland,Bernina Express Alps,Switzerland
17,Switzerland,Glacier Express Switzerland,Switzerland
18,Switzerland,Landwasser Viaduct train,Switzerland
19,Switzerland,Jungfrau railway,Switzerland
20,Switzerland,Kleine Scheidegg train,Switzerland
21,Switzerland,Lauterbrunnen railway,Switzerland
22,Switzerland,Zermatt railway train,Switzerland
23,Switzerland,Swiss train Alps snow,Switzerland
24,Switzerland,Lucerne railway station,Switzerland
25,Switzerland,Zurich Hauptbahnhof train,Switzerland
26,Switzerland,Interlaken train Switzerland,Switzerland
27,Switzerland,Gotthard railway Switzerland,Switzerland
28,Switzerland,Rhätische Bahn red train,Switzerland
29,Switzerland,Lake Geneva railway train,Switzerland
30,Switzerland,Swiss mountain railway,Switzerland
31,Norway,Flam Railway Norway,Norway
32,Norway,Bergen Railway Norway,Norway
33,Norway,Oslo Central Station train,Norway
34,Norway,Norwegian train fjord,Norway
35,Norway,Norway railway snow,Norway
36,Norway,Dovre Line Norway train,Norway
37,Norway,Rauma Railway Norway,Norway
38,Norway,Bergensbanen mountain train,Norway
39,Norway,Trondheim railway station,Norway
40,Norway,Nordland Line Norway,Norway
41,Norway,Norway scenic railway,Norway
42,Norway,Norwegian train winter,Norway
43,France,Gare du Nord Paris train,France
44,France,Gare de Lyon Paris train,France
45,France,TGV France,France
46,France,French train countryside,France
47,France,Strasbourg railway station,France
48,France,Bordeaux Saint Jean station,France
49,France,Marseille Saint Charles station,France
50,France,Nice railway train,France
51,France,Lyon Part Dieu train,France
52,France,Chamonix Mont Blanc Express,France
53,France,French Alps train,France
54,France,Paris railway platform,France
55,France,TGV high speed railway,France
56,France,French coastal railway,France
57,Italy,Milano Centrale station,Italy
58,Italy,Roma Termini train,Italy
59,Italy,Venezia Santa Lucia station,Italy
60,Italy,Italian train Tuscany,Italy
61,Italy,Cinque Terre railway train,Italy
